Name,Location,Beschreibung,Kategorie,Viertel,Google_Maps_Suche,Import_Status,Pruefstatus,id
MLB Korea,"17-1 Myeongdong 8-gil, Jung-gu, Seoul, South Korea","Baseball-Logos als koreanische Streetwear: Caps, Oversize, Sneaker.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=MLB%20Korea%2017-1%20Myeongdong%208-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,mlb
Musinsa Standard,"90 Namdaemun-ro, Jung-gu, Seoul, South Korea","Zeitlose Basics, auf Passform und Stoff optimiert.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=Musinsa%20Standard%2090%20Namdaemun-ro%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,must
Myeongdong,"Myeong-dong 2-ga, Jung-gu, Seoul, South Korea","Aus eurer Excel-Liste. · Aus TikTok: Perm-Spezialist. Die Creatorin nennt es nach vielen misslungenen Versuchen den richtigen Laden. · Aus TikTok: Unterkunft: geräumig, sauber, nah",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=Myeongdong%20Myeong-dong%202-ga%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl12
Olive Better 올리브 베터,"17 Jong-ro 3-gil, Jongno-gu, Seoul, South Korea",Über 3.000 kuratierte Self-Care-Produkte nach sechs Wellness-Bereichen sortiert. 5 Min ab Gwanghwamun Station Exit 4.,Shopping,Jongno,https://www.google.com/maps/search/?api=1&query=Olive%20Better%20%EC%98%AC%EB%A6%AC%EB%B8%8C%20%EB%B2%A0%ED%84%B0%2017%20Jong-ro%203-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,olbe
OWM Pharm,"25-1 Myeongdong 10-gil, 1F, Jung-gu, Seoul, South Korea",K-Beauty-Apotheke mit Tax-free und mehrsprachiger Beratung.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=OWM%20Pharm%2025-1%20Myeongdong%2010-gil%2C%201F%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,owm
Panda Pharmacy,"13 Myeongdong 7-gil, 1F, Jung-gu, Seoul, South Korea",K-Beauty-Apotheke mit Tax-free und mehrsprachiger Beratung.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Panda%20Pharmacy%2013%20Myeongdong%207-gil%2C%201F%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,panda
Plaza Mall Hongdae,"188 Yanghwa-ro, Mapo-gu, Seoul, South Korea",Zum Shoppen mit 10 von 10 bewertet. Die Creatorin würde beim nächsten Mal deutlich mehr Zeit in Hongdae verbringen.,Shopping,Hongdae,https://www.google.com/maps/search/?api=1&query=Plaza%20Mall%20Hongdae%20188%20Yanghwa-ro%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,plaza
Ready Young Pharmacy,"8 Hongik-ro 6-gil, 1F, Mapo-gu, Seoul, South Korea",K-Beauty-Apotheke mit eigenem Global-Account für internationale Kundschaft.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Ready%20Young%20Pharmacy%208%20Hongik-ro%206-gil%2C%201F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,ryp
SATUR,"37-4 Myeongdong 8-gil, Jung-gu, Seoul, South Korea","Strukturierte Silhouetten und gedeckte Farben, inspiriert vom heutigen Seoul.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=SATUR%2037-4%20Myeongdong%208-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,satur
sensogu - haus nowhere!,"433 Ttukseom-ro, Seongdong-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=sensogu%20-%20haus%20nowhere%21%20433%20Ttukseom-ro%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl13
Songzio,"130 Gwangnaru-ro, 16F, Seongdong-gu, Seoul, South Korea",Koreanischer Designer aus dem Shopping-Guide gegen Touri-Fallen.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Songzio%20130%20Gwangnaru-ro%2C%2016F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,szio
SPAO,"15 Myeongdong 8na-gil, Jung-gu, Seoul, South Korea","Koreanische Alltagsmode, günstig, viele Character-Kollaborationen.",Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=SPAO%2015%20Myeongdong%208na-gil%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,spao
Tamburins,"8 Yeonmujang 5-gil, Seongdong-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Tamburins%208%20Yeonmujang%205-gil%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl43
Theilma,"27 Jahamun-ro 8-gil, Jongno-gu, Seoul, South Korea",Lokales Label aus dem Shopping-Guide gegen Touri-Fallen.,Shopping,Seoul,https://www.google.com/maps/search/?api=1&query=Theilma%2027%20Jahamun-ro%208-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,thei
TOPTEN10,"61-2 Myeong-dong 1-ga, Jung-gu, Seoul, South Korea",Praktische Basics zu zugänglichen Preisen.,Shopping,Myeongdong,https://www.google.com/maps/search/?api=1&query=TOPTEN10%2061-2%20Myeong-dong%201-ga%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,top10
Visual Collect,"3 Yeonmujang 13-gil, 2F, Seongdong-gu, Seoul, South Korea","Ruhiger Rückzugsort im vollen Seongsu, viele Kunstbücher zum Blättern.",Shopping,Seongsu,https://www.google.com/maps/search/?api=1&query=Visual%20Collect%203%20Yeonmujang%2013-gil%2C%202F%2C%20Seongdong-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,vc
Apgujeong Rodeo 압구정로데오,"Eonju-ro 172-gil, Gangnam-gu, Seoul, South Korea",Die Rodeo-Seite lohnt sich laut Post vor allem für Drinks.,Sightseeing,Apgujeong,https://www.google.com/maps/search/?api=1&query=Apgujeong%20Rodeo%20%EC%95%95%EA%B5%AC%EC%A0%95%EB%A1%9C%EB%8D%B0%EC%98%A4%20Eonju-ro%20172-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,apgu
Bukchon Hanok Village,"Gyedong-gil, Jongno-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Sightseeing,Jongno,https://www.google.com/maps/search/?api=1&query=Bukchon%20Hanok%20Village%20Gyedong-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl05
Bukchon Hanok Village 북촌한옥마을,"Gyedong-gil, Jongno-gu, Seoul, South Korea","Touristisch, aber laut @halflocalella immer noch schön und einen Blick wert.",Sightseeing,Bukchon,https://www.google.com/maps/search/?api=1&query=Bukchon%20Hanok%20Village%20%EB%B6%81%EC%B4%8C%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84%20Gyedong-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,bukc
Dongmyo Flohmarkt 동묘,"102-8 Sungin-dong, Jongno-gu, Seoul, South Korea","Markt: staubig, unorganisiert und laut Post schmerzhaft charmant.",Sightseeing,Jongno,https://www.google.com/maps/search/?api=1&query=Dongmyo%20Flohmarkt%20%EB%8F%99%EB%AC%98%20102-8%20Sungin-dong%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,dong
Gyeongbokgung Palace,"161 Sajik-ro, Jongno-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Sightseeing,Jongno,https://www.google.com/maps/search/?api=1&query=Gyeongbokgung%20Palace%20161%20Sajik-ro%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl04
Gyeongbokgung 경복궁,"161 Sajik-ro, Jongno-gu, Seoul, South Korea",Hauptpalast der Joseon-Dynastie. Taucht im Spots-Carousel von @ldnloft auf.,Sightseeing,Jongno,https://www.google.com/maps/search/?api=1&query=Gyeongbokgung%20%EA%B2%BD%EB%B3%B5%EA%B6%81%20161%20Sajik-ro%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,gyeo
Hanbok-Verleih mit Styling (Trazy),"161 Sajik-ro, Jongno-gu, Seoul, South Korea",Nahe Gyeongbokgung. Buchungsseite: https://www.trazy.com/experience/detail/hanbok-rental-with-hairstyling-near-gyeongbokgung,Sightseeing,Seoul,https://www.google.com/maps/search/?api=1&query=Hanbok-Verleih%20mit%20Styling%20%28Trazy%29%20161%20Sajik-ro%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl34
Hop on Hop Off bus,"135-7 Sejong-daero, Jung-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Sightseeing,Seoul,https://www.google.com/maps/search/?api=1&query=Hop%20on%20Hop%20Off%20bus%20135-7%20Sejong-daero%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl02
Jongno 종로,"Jongno-gu, Seoul, South Korea","Spielplatz der Großväter, gute Old-School-Adressen.",Sightseeing,Jongno,https://www.google.com/maps/search/?api=1&query=Jongno%20%EC%A2%85%EB%A1%9C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,jong
Korean Demilitarised Zone,"148-53 Imjingak-ro, Munsan-eup, Paju-si, Gyeonggi-do, South Korea",Aus eurer Excel-Liste.,Sightseeing,Seoul,https://www.google.com/maps/search/?api=1&query=Korean%20Demilitarised%20Zone%20148-53%20Imjingak-ro%2C%20Munsan-eup%2C%20Paju-si%2C%20Gyeonggi-do%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl07
Leeum Museum,"60-16 Itaewon-ro 55-gil, Yongsan-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Sightseeing,Hannam-dong,https://www.google.com/maps/search/?api=1&query=Leeum%20Museum%2060-16%20Itaewon-ro%2055-gil%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl06
Mullae Art Village 문래예술촌,"13-8 Dorim-ro 128ga-gil, Yeongdeungpo-gu, Seoul, South Korea","Sehr industriell, wenig zu tun. Die Creatorin würde es überspringen, andere sagen, es wird das nächste Seongsu.",Sightseeing,Mullae,https://www.google.com/maps/search/?api=1&query=Mullae%20Art%20Village%20%EB%AC%B8%EB%9E%98%EC%98%88%EC%88%A0%EC%B4%8C%2013-8%20Dorim-ro%20128ga-gil%2C%20Yeongdeungpo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,mull
Myeongdong Street Food Market,"Myeong-dong 2-ga, Jung-gu, Seoul, South Korea","Achtung: laut @seoul.southkorea die ersten Abende auslassen, dieselben Gerichte sind auf anderen Märkten deutlich günstiger.",Sightseeing,Myeongdong,https://www.google.com/maps/search/?api=1&query=Myeongdong%20Street%20Food%20Market%20Myeong-dong%202-ga%2C%20Jung-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,myst
Seochon 서촌,"45 Pirundae-ro, Jongno-gu, Seoul, South Korea","Gut für Locals und Besucher, viele Essensoptionen, nicht so touristisch wie Bukchon.",Sightseeing,Jongno,https://www.google.com/maps/search/?api=1&query=Seochon%20%EC%84%9C%EC%B4%8C%2045%20Pirundae-ro%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,seoc
Starfield Library,"513 Yeongdong-daero, Starfield COEX Mall B1, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Sightseeing,Gangnam,https://www.google.com/maps/search/?api=1&query=Starfield%20Library%20513%20Yeongdong-daero%2C%20Starfield%20COEX%20Mall%20B1%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl03
Abijou Clinic (Gangnam),"11 Seocho-daero 73-gil, Seocho-gu, Seoul, South Korea",Google 4.9 bei 1209 Bewertungen · Preisniveau ₩–₩₩ · Anti-aging packages with on-site translators · Event promotions incl. Ulthera 600 shots + free LDM; Potenza + Juvelook packages,Treatments,Gangnam Stn,https://www.google.com/maps/search/?api=1&query=Abijou%20Clinic%20%28Gangnam%29%2011%20Seocho-daero%2073-gil%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl06
Acquafield,"750 Misa-daero, Hanam-si, Gyeonggi-do, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Acquafield%20750%20Misa-daero%2C%20Hanam-si%2C%20Gyeonggi-do%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl38
Aromatica Bukchon,"17-2 Bukchon-ro 11-gil, Jongno-gu, Seoul, South Korea","Koreanische Heiltradition trifft Aromatherapie, inklusive professioneller Kopfhaut-Analyse. 10 Min ab Anguk Station Exit 2.",Treatments,Bukchon,https://www.google.com/maps/search/?api=1&query=Aromatica%20Bukchon%2017-2%20Bukchon-ro%2011-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,arom
atnown hair,"24 Dokseodang-ro 14-gil, Brighton Hannam 2F 210-211, Yongsan-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=atnown%20hair%2024%20Dokseodang-ro%2014-gil%2C%20Brighton%20Hannam%202F%20210-211%2C%20Yongsan-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,xl16
Beauty Blossom (Hongdae-Hapjeong),"66 Yanghwa-ro, 6F, Mapo-gu, Seoul, South Korea","Google 5.0 bei 861 Bewertungen · Preisniveau ₩₩ · Calm, personal experience; sensitive/nervous first-timers · Mid-range; Ultherapy, Onda, skin Botox — personal pacing, not factory-",Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=Beauty%20Blossom%20%28Hongdae-Hapjeong%29%2066%20Yanghwa-ro%2C%206F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl07
Beauty Lounge (Hongdae Global),"15 Hongik-ro 6-gil, ART BOX Building 5F, Mapo-gu, Seoul, South Korea","Google 4.9 bei 1348 Bewertungen · Preisniveau ₩₩ · Premium-feel service without luxury prices; no hard-sell · Transparent consults, mid-range pricing; treats acne (incl. teens), Th",Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=Beauty%20Lounge%20%28Hongdae%20Global%29%2015%20Hongik-ro%206-gil%2C%20ART%20BOX%20Building%205F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl04
bit.boot 빗앤붓,"49 Dosan-daero 81-gil, Gangnam-gu, Seoul, South Korea","Der Salon aus dem Layered-Cut-Post. Taucht auch im Studio-Guide auf, damit als Seouler Salon bestätigt.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=bit.boot%20%EB%B9%97%EC%95%A4%EB%B6%93%2049%20Dosan-daero%2081-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,bitb
BLS Clinic (Apgujeong/Cheongdam),"824 Nonhyeon-ro, Gangnam-gu, Seoul, South Korea","Google 4.9 bei 1226 Bewertungen · Preisniveau ₩₩ · VIP-style personal care, lifting treatments, good follow-up · Mid-range; Thermage / Ulthera Prime with 1:1 care — no factory queu",Treatments,Apgujeong,https://www.google.com/maps/search/?api=1&query=BLS%20Clinic%20%28Apgujeong/Cheongdam%29%20824%20Nonhyeon-ro%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl05
Club K Seoul 클럽K 서울,"524 Seolleung-ro, B1-B2 Daelim Acrotel, Gangnam-gu, Seoul, South Korea","Fitness, Sauna, Jjimjilbang und Kulturfläche mit Buchcafé und Kunstausstellungen in einem.",Treatments,Gangnam,https://www.google.com/maps/search/?api=1&query=Club%20K%20Seoul%20%ED%81%B4%EB%9F%BDK%20%EC%84%9C%EC%9A%B8%20524%20Seolleung-ro%2C%20B1-B2%20Daelim%20Acrotel%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,clubk
Cocory Colour,"28 Gangnam-daero 158-gil, 3F, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste. €45 colour analysis + €85 makeup personal,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Cocory%20Colour%2028%20Gangnam-daero%20158-gil%2C%203F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl32
color for you,"209 Donggyo-ro, Yongpyeong Building 3F, Mapo-gu, Seoul, South Korea",Aus eurer Excel-Liste. 220 für 2 pax,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=color%20for%20you%20209%20Donggyo-ro%2C%20Yongpyeong%20Building%203F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,xl31
DewyD Clinic,"621 Gangnam-daero, K-TOWER 4F, Seocho-gu, Seoul, South Korea","Google 4.9 bei 349 Bewertungen · Preisniveau ₩₩ · Early-morning slots for packed itineraries; hand rejuvenation, Onda · Mid-range; detailed skin analysis with take-home QR report; ",Treatments,Sinsa,https://www.google.com/maps/search/?api=1&query=DewyD%20Clinic%20621%20Gangnam-daero%2C%20K-TOWER%204F%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl17
Eco Jardin Hongdae,"179-38 Donggyo-dong, 4F, Mapo-gu, Seoul, South Korea","Hair und Make-up für einen Tag in Seoul, Make-up von @eco_mua_ymj.",Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=Eco%20Jardin%20Hongdae%20179-38%20Donggyo-dong%2C%204F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,eco
Egg Clinic,"613 Gangnam-daero, 6F, Seocho-gu, Seoul, South Korea",Google 4.8 bei 358 Bewertungen · Preisniveau ₩₩ · Efficient multi-treatment packages tailored to a set budget · Signature package (Thermage + Softwave + Rejuran + BBL) done in ~4h;,Treatments,Sinsa,https://www.google.com/maps/search/?api=1&query=Egg%20Clinic%20613%20Gangnam-daero%2C%206F%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl18
FINE Clinic,"621 Gangnam-daero, Seocho-gu, Seoul, South Korea",Google 4.7 bei 859 Bewertungen · Preisniveau ₩₩ · Easy self-serve online booking with real availability · Straightforward pricing; Potenza & acne care; honest 'don't-need-it' consu,Treatments,Sinsa,https://www.google.com/maps/search/?api=1&query=FINE%20Clinic%20621%20Gangnam-daero%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl13
Foretsoul,"511-9 Sinsa-dong, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Foretsoul%20511-9%20Sinsa-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl44
Head Spa EcoJardin,"179-38 Donggyo-dong, 4F, Mapo-gu, Seoul, South Korea",Aus eurer Excel-Liste. €140 / pp 15-step treatment,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Head%20Spa%20EcoJardin%20179-38%20Donggyo-dong%2C%204F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl18
Heidi House 하이디하우스,"11 Seongchon 4-gil, Seocho-gu, Seoul, South Korea",Technogym-Ausstattung plus Spa mit Felsenwasser aus 1.000 m Tiefe und Ice Bath. Luxus-Recovery-Programm.,Treatments,Gangnam,https://www.google.com/maps/search/?api=1&query=Heidi%20House%20%ED%95%98%EC%9D%B4%EB%94%94%ED%95%98%EC%9A%B0%EC%8A%A4%2011%20Seongchon%204-gil%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,heidi
id Clinic (Hongdae),"140 Yanghwa-ro, H-Cube Building 10F, Mapo-gu, Seoul, South Korea",Google 4.9 bei 599 Bewertungen · Preisniveau ₩–₩₩ · Walk-in friendly (bring passport); ONDA/lifting; private rooms · Prices listed on website — pick treatments before you arrive to,Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=id%20Clinic%20%28Hongdae%29%20140%20Yanghwa-ro%2C%20H-Cube%20Building%2010F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl14
Jenny House 제니하우스,"56 Seolleung-ro 146-gil, Gangnam-gu, Seoul, South Korea","Bekanntes Promi-Salon aus dem K-Idol-Studio-Guide. Mehrere Filialen, Adresse vorher prüfen.",Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Jenny%20House%20%EC%A0%9C%EB%8B%88%ED%95%98%EC%9A%B0%EC%8A%A4%2056%20Seolleung-ro%20146-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,jenny
Kitts Hair & Makeup,"13 Dosan-daero 59-gil, 3F, Gangnam-gu, Seoul, South Korea",Hair- und Make-up-Studio aus dem K-Idol-Look-Guide.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Kitts%20Hair%20%26%20Makeup%2013%20Dosan-daero%2059-gil%2C%203F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,kitts
LaMiche Dermatology,"14 Baekjegobun-ro 7-gil, 4F Taewon Building, Songpa-gu, Seoul, South Korea",Aus eurer Excel-Liste. for laser treatments,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=LaMiche%20Dermatology%2014%20Baekjegobun-ro%207-gil%2C%204F%20Taewon%20Building%2C%20Songpa-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl28
Lienjang (Gangnam Main),"403 Gangnam-daero, Seocho-gu, Seoul, South Korea",Google 4.6 bei 1476 Bewertungen · Preisniveau ₩–₩₩ · Premium flagship feel at chain prices; stem-cell & exclusive treatments · Same English price list; e.g. traveler paid ~US$230 f,Treatments,Gangnam Stn,https://www.google.com/maps/search/?api=1&query=Lienjang%20%28Gangnam%20Main%29%20403%20Gangnam-daero%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl10
Lienjang (Hongdae),"3 Yanghwa-ro 18-gil, 6F, Mapo-gu, Seoul, South Korea","Google 4.9 bei 2689 Bewertungen · Preisniveau ₩–₩₩ · Skin analysis + facial + Botox combos; most-loved Lienjang branch · Full English price list online: Rejuran face 1mL ₩320k, Pot",Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=Lienjang%20%28Hongdae%29%203%20Yanghwa-ro%2018-gil%2C%206F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl02
Moclock,"520 Gangnam-daero, 2F, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste. $85 / pp,Treatments,Gangnam,https://www.google.com/maps/search/?api=1&query=Moclock%20520%20Gangnam-daero%2C%202F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl20
Mood Collect,"Garosu-gil / Sinsa-dong, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste. $130/pp für colour analysis + makeup analysis,Treatments,Gangnam,https://www.google.com/maps/search/?api=1&query=Mood%20Collect%20Garosu-gil%20/%20Sinsa-dong%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl33
Muse Clinic (Gangnam),"452 Gangnam-daero, 2-5F, Gangnam-gu, Seoul, South Korea",Google 4.6 bei 1502 Bewertungen · Preisniveau ₩–₩₩ · First-timers who want to compare full price menu before booking · Comprehensive public price menu on website; facial ~₩88–97k; ,Treatments,Gangnam Stn,https://www.google.com/maps/search/?api=1&query=Muse%20Clinic%20%28Gangnam%29%20452%20Gangnam-daero%2C%202-5F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl09
Ocean Clinic,"363 Gangnam-daero, Gangnam Tower 6-7F, Seocho-gu, Seoul, South Korea",Google 4.7 bei 602 Bewertungen · Preisniveau ₩–₩₩ · Honest consults with multi-language translators · Competitive multi-treatment quotes (Aqua Peel + Excel V + Capri combos) · Buch,Treatments,Gangnam Stn,https://www.google.com/maps/search/?api=1&query=Ocean%20Clinic%20363%20Gangnam-daero%2C%20Gangnam%20Tower%206-7F%2C%20Seocho-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl16
OKID 오키드,"13-5, 3F, Gangnam-gu, Seoul, South Korea",Hair- und Make-up-Studio aus dem K-Idol-Look-Guide.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=OKID%20%EC%98%A4%ED%82%A4%EB%93%9C%2013-5%2C%203F%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,okid
Oui Oui,"26 Apgujeong-ro 72-gil, Gangnam-gu, Seoul, South Korea",Hair- und Make-up-Studio aus dem K-Idol-Look-Guide.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=Oui%20Oui%2026%20Apgujeong-ro%2072-gil%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,ouio
Park Jun Beauty Lab,"651 Samseong-ro, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste. €140 / pp 15-step treatment,Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=Park%20Jun%20Beauty%20Lab%20651%20Samseong-ro%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,xl19
ParkJun Beauty Lab in Cheongdam (Hair Spa),"651 Samseong-ro, Gangnam-gu, Seoul, South Korea",Aus eurer Excel-Liste.,Treatments,Seoul,https://www.google.com/maps/search/?api=1&query=ParkJun%20Beauty%20Lab%20in%20Cheongdam%20%28Hair%20Spa%29%20651%20Samseong-ro%2C%20Gangnam-gu%2C%20Seoul%2C%20South%20Korea,OK,vorhandene Adresse übernommen,xl14
PPEUM Global (Hongdae),"140 Yanghwa-ro, H-Cube Building 4F, Mapo-gu, Seoul, South Korea",Google 4.8 bei 1130 Bewertungen · Preisniveau ₩ · Layover / arrival-day treatments at event prices · Same PPEUM event pricing; free masks/drinks; luggage storage + chargers (1 stop,Treatments,Hongdae,https://www.google.com/maps/search/?api=1&query=PPEUM%20Global%20%28Hongdae%29%20140%20Yanghwa-ro%2C%20H-Cube%20Building%204F%2C%20Mapo-gu%2C%20Seoul%2C%20South%20Korea,OK,neu recherchiert,cl08
